utc_time,hash_uri,country,platform,channel,is_buyer
2018-08-09 00:34:04,6097a98955a59d0c832fe45d611ec35d,United States,iOS,Direct,0
2018-08-09 00:35:14,b30d775bd0da866b909ecb3d8a98f557,United States,iOS,Direct,1
2018-08-09 00:35:32,3b0f51613bf2698fa585474267520c65,United States,Mac,Direct,0
2018-08-09 00:35:40,613f65a4defe7983152b032066485a7b,United States,Windows,Direct,0
2018-08-09 00:37:05,f39c2c1c9ae64992a6fba340485017d6,United States,Mac,Direct,0
2018-08-09 00:37:34,4d5bd45436238c570b373fdc6371ddc4,United States,Windows,Direct,0
2018-08-09 00:37:35,613f65a4defe7983152b032066485a7b,United States,Windows,Direct,0
2018-08-09 00:38:32,0138d6aadff0f0e49f57b2345cf6b5ee,United States,Mac,Direct,0
2018-08-09 00:39:01,b30d775bd0da866b909ecb3d8a98f557,United States,iOS,Direct,0
2018-08-09 00:39:10,26cdea8a6df91fe3784ddad1cfcacdba,Trinidad and Tobago,Windows,Direct,0
2018-08-09 00:39:11,91a30f9a180eae450df7bd89e81e7454,United States,Windows,Direct,1
2018-08-09 00:40:02,828ca938f0040268f9b4f72e6b14eb81,United States,iOS,Direct,0
2018-08-09 00:41:12,b2a95dc23f88bad2b20c5dd424ebcd4b,United States,Windows,Direct,0
2018-08-09 00:42:04,3ddc364f00e0ab35b0031bdb85600a40,United States,iOS,Direct,0
2018-08-09 00:42:09,6b4625b3f111741141324132b7c8d630,United States,Windows,Direct,0
2018-08-09 00:42:12,6b4625b3f111741141324132b7c8d630,Ireland,Windows,Direct,1
2018-08-09 00:42:21,7c7b731244071b9328b4f9b8718a72d5,United States,Windows,Direct,0
2018-08-09 00:43:28,613f65a4defe7983152b032066485a7b,United States,iOS,Direct,1
2018-08-09 00:43:53,6b4625b3f111741141324132b7c8d630,United States,iOS,Direct,0
2018-08-09 00:43:54,6b4625b3f111741141324132b7c8d630,United States,Windows,Direct,1
2018-08-09 00:43:54,6b4625b3f111741141324132b7c8d630,United States,Windows,Direct,0
2018-08-09 00:43:54,6b4625b3f111741141324132b7c8d630,United States,Windows,Direct,0
2018-08-09 00:44:01,b7cc5b4854052e8840ecfe66dfb2a594,United States,Android,Direct,0
2018-08-09 00:44:18,4a37b32779172b2e4b5bc9bc7180913d,United States,Mac,Direct,0
2018-08-09 00:44:28,2e04304721463b410320f42cc8c07d02,United States,Mac,Direct,0
2018-08-09 00:44:39,4a4c1fd51a8fd21d0b02143756d92324,United States,Mac,Direct,0
2018-08-09 00:44:46,6b4625b3f111741141324132b7c8d630,United States,Android,Direct,0
2018-08-09 00:45:42,91a30f9a180eae450df7bd89e81e7454,United States,Windows,Direct,1
2018-08-09 00:46:32,b30d775bd0da866b909ecb3d8a98f557,United States,Android,Direct,0
2018-08-09 00:46:52,4b648188911d46d3c6478953a225cb9c,United States,Windows,Direct,0
2018-08-09 00:47:31,b30d775bd0da866b909ecb3d8a98f557,United States,Windows,Direct,0
2018-08-09 00:47:35,10a3722c3d0a9b62740d2348b5280213,United States,iOS,Direct,0
2018-08-09 00:47:44,65c7bc193babfc39dd3c33e097453ae0,United States,Mac,Direct,0
2018-08-09 00:48:08,95864664247daf0ccfb01a9c71d42b3d,Canada,Windows,Direct,0
2018-08-09 00:48:38,0c15b7929568e564e357aabf04df3b0f,United States,Android,Direct,0
2018-08-09 00:48:52,22b84c8d5414f40a7c7e1944ec29d65f,United States,Linux,Direct,0
2018-08-09 00:48:55,e350da920cedbcf0530a88bda2cc68ab,United States,iOS,Direct,0
2018-08-09 00:48:59,2e04304721463b410320f42cc8c07d02,United States,iOS,Direct,0
2018-08-09 00:49:01,e1e2ebd2ae246f3df00b072b68c7f228,United States,Linux,Direct,0
2018-08-09 00:49:17,1069bb839d0f383c3481d4f01d80db77,United States,Windows,Direct,1
2018-08-09 00:49:20,0c15b7929568e564e357aabf04df3b0f,United States,Android,Direct,0
2018-08-09 00:50:06,a7998d7d4c563a11164f683345a618b4,United States,Windows,Direct,0
2018-08-09 00:50:08,d7f358a46f5808a2ea1b3d78affd0141,United States,iOS,Direct,0
2018-08-09 00:50:21,7b3a21a33973a2a21dea68b8629a4cf7,United States,iOS,Direct,0
2018-08-09 00:50:52,0c15b7929568e564e357aabf04df3b0f,United States,Windows,Direct,1
2018-08-09 00:51:58,2bd798ce9ca09f00a8d51350fa242ccc,United States,iOS,Direct,0
2018-08-09 00:52:24,b30d775bd0da866b909ecb3d8a98f557,United States,iOS,Direct,1
2018-08-09 00:52:30,b47fc32c3970b004168ac50337e31176,United States,Windows,Direct,0
2018-08-09 00:52:35,067cf05cfb3ff5b772b8089a5ec2725a,United States,Android,Direct,0
2018-08-09 00:52:44,8fd4015b4cb098ccd4d58d26691ab192,United States,Mac,Direct,0
2018-08-09 00:53:03,613f65a4defe7983152b032066485a7b,United States,iOS,Direct,0
2018-08-09 00:53:12,4a37b32779172b2e4b5bc9bc7180913d,United States,Mac,Direct,0
2018-08-09 00:53:12,d7f358a46f5808a2ea1b3d78affd0141,United States,Mac,Direct,1
2018-08-09 00:53:14,613f65a4defe7983152b032066485a7b,United States,Windows,Direct,0
2018-08-09 00:53:14,1247c4636f91b4f09c19b4a40250dc3d,United States,Windows,Direct,1
2018-08-09 00:53:25,2e04304721463b410320f42cc8c07d02,United States,Windows,Direct,1
2018-08-09 00:53:39,e1e9fc00dbe4d95962c7db80095fa9ca,United States,Windows,Direct,0
2018-08-09 00:53:40,09905d31c3b8af59ead386c5b05be40e,Netherlands,Windows,Direct,0
2018-08-09 00:54:11,2e04304721463b410320f42cc8c07d02,United States,Windows,Direct,0
2018-08-09 00:54:14,d60e35690aaf4011b6343e1bac64ca94,United States,Windows,Direct,1
2018-08-09 00:54:23,b05a7f53713a50af26dfd620a6048223,United States,iOS,Direct,0
2018-08-09 00:54:26,429abc5b35d2cfef588d77340482e3d7,France,Linux,Direct,1
2018-08-09 00:54:29,613f65a4defe7983152b032066485a7b,United States,Windows,Direct,0
2018-08-09 00:54:37,9ecc64d0a0f053e147515442c1d271b1,United States,iOS,Direct,0
2018-08-09 00:55:17,613f65a4defe7983152b032066485a7b,United States,Windows,Direct,0
2018-08-09 00:56:00,2e04304721463b410320f42cc8c07d02,United States,iOS,Direct,0
